,NrArticolo,budgetConsuntivo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,QuantitydiOutput
0,ART0000788,BUDGET,ODP16-16812,Montaggio,A40,RIS4,0.25,1.0
1,ART0000756,BUDGET,ODP16-15232,Montaggio,A40,RIS4,1.0,2.0
2,ART0000772,BUDGET,ODP16-15712,Montaggio,A40,RIS4,1.25,1.0
3,ART0000762,BUDGET,ODP16-14704,Montaggio,A40,RIS4,3.0,10.0
4,ART0000762,BUDGET,ODP16-14704,Controllo qualità,CQ,RIS16,0.0,10.0
5,ART0000772,BUDGET,ODP16-15712,Controllo qualità,CQ,RIS16,0.0,1.0
6,ART0000788,BUDGET,ODP16-16812,Controllo qualità,CQ,RIS16,0.0,1.0
7,ART0000756,BUDGET,ODP16-15232,Controllo qualità,CQ,RIS16,0.0,2.0
8,ART0003578,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.0,10.0
9,ART0003580,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.0,10.0
10,ART0000645,BUDGET,ODP16-16561,Controllo qualità,CQ,RIS16,0.0,23.0
11,ART0002513,BUDGET,ODP16-15976,Tornitura,A20,RIS14,2.5,7.0
12,ART0001180,BUDGET,ODP16-14655,Controllo qualità,CQ,RIS16,0.0,5.0
13,ART0002145,BUDGET,ODP16-17333,Tornitura,A20,RIS2,1.0,1.0
14,ART0001253,BUDGET,ODP16-15711,Tornitura,A20,RIS2,1.0,1.0
15,ART0002740,BUDGET,ODP16-16942,Fresatura,A30,RIS7,4.75,40.0
16,ART0001926,BUDGET,ODP16-14758,Fresatura,A30,RIS7,1.0,3.0
17,ART0002513,BUDGET,ODP16-15976,Fresatura,A30,RIS7,1.5,7.0
18,ART0001926,BUDGET,ODP16-14758,Saldatura,A11,RIS1,1.0,12.0
19,ART0002145,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.5,1.0
20,ART0005136,BUDGET,ODP16-16477,Fresatura,A30,RIS9,0.75,0.0
21,ART0001779,BUDGET,ODP16-14652,Tornitura,A20,RIS14,2.5,8.0
22,ART0001253,BUDGET,ODP16-15711,Fresatura,A30,RIS7,0.5,1.0
23,ART0001779,BUDGET,ODP16-14652,Fresatura,A30,RIS7,2.25,8.0
24,ART0002551,BUDGET,ODP16-15980,Tornitura,A20,RIS2,2.25,3.0
25,ART0000756,BUDGET,ODP16-15977,Montaggio,A40,RIS4,1.5,5.0
26,ART0001743,BUDGET,ODP16-15980,Fresatura,A30,RIS7,5.0,0.0
27,ART0002366,BUDGET,ODP16-16942,Tornitura,A20,RIS2,2.0,4.0
28,ART0002366,BUDGET,ODP16-16942,Tornitura,A20,RIS2,0.25,0.0
29,ART0001920,BUDGET,ODP16-14653,Controllo qualità,CQ,RIS16,0.0,2.0
30,ART0001891,BUDGET,ODP16-14652,Controllo qualità,CQ,RIS16,0.0,8.0
31,ART0001884,BUDGET,ODP16-16047,Controllo qualità,CQ,RIS16,0.0,7.0
32,ART0001743,BUDGET,ODP16-15980,Fresatura,A30,RIS7,3.75,3.0
33,ART0000825,BUDGET,ODP16-14653,Montaggio,A40,RIS4,1.5,2.0
34,ART0000825,BUDGET,ODP16-14653,Controllo qualità,CQ,RIS16,0.0,2.0
35,ART0000756,BUDGET,ODP16-15977,Controllo qualità,CQ,RIS16,0.0,5.0
36,ART0002366,BUDGET,ODP16-16942,Fresatura,A30,RIS7,1.5,4.0
37,ART0001017,BUDGET,ODP16-16663,Montaggio,A40,RIS4,0.45,1.0
38,ART0001017,BUDGET,ODP16-15843,Montaggio,A40,RIS4,0.45,1.0
39,ART0003935,BUDGET,ODP16-16479,Tornitura,A20,RIS14,0.5,1.0
40,ART0003935,BUDGET,ODP16-16479,Tornitura,A20,RIS14,2.0,0.0
41,ART0005136,BUDGET,ODP17-00172,Tornitura,A20,RIS2,0.25,1.0
42,ART0005136,BUDGET,ODP17-00172,Tornitura,A20,RIS2,0.25,1.0
43,ART0001017,BUDGET,ODP16-16663,Controllo qualità,CQ,RIS16,0.0,1.0
44,ART0001017,BUDGET,ODP16-15843,Controllo qualità,CQ,RIS16,0.0,1.0
45,ART0005136,BUDGET,ODP17-00172,Controllo qualità,CQ,RIS16,0.0,1.0
46,ART0005136,BUDGET,ODP17-00172,Controllo qualità,CQ,RIS16,0.0,1.0
47,ART0002551,BUDGET,ODP16-15980,Fresatura,A30,RIS7,2.0,0.0
48,ART0002551,BUDGET,ODP16-15980,Fresatura,A30,RIS7,2.5,3.0
49,ART0003782,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.0,4.0
50,ART0005136,BUDGET,ODP16-16477,Tornitura,A20,RIS2,1.5,1.0
51,ART0005136,BUDGET,ODP16-16477,Fresatura,A30,RIS9,0.75,1.0
52,ART0003613,BUDGET,ODP16-16560,Tornitura,A20,RIS2,1.0,4.0
53,ART0002012,BUDGET,ODP16-17338,Tornitura,A20,RIS1,0.5,2.0
54,ART0003613,BUDGET,ODP16-16560,Controllo qualità,CQ,RIS16,0.0,4.0
55,ART0000308,BUDGET,ODP16-16945,Tornitura,A20,RIS14,2.5,10.0
56,ART0002144,BUDGET,ODP16-17333,Tornitura,A20,RIS1,0.5,1.0
57,ART0002132,BUDGET,ODP16-17333,Tornitura,A20,RIS1,0.5,1.0
58,ART0001817,BUDGET,ODP16-14758,Fresatura,A30,RIS7,3.25,0.0
59,ART0002102,BUDGET,ODP16-16942,Tornitura,A20,RIS14,2.5,26.0
60,ART0003935,BUDGET,ODP16-16479,Fresatura,A30,RIS9,1.0,0.0
61,ART0002753,BUDGET,ODP16-17337,Tornitura,A20,RIS2,2.0,2.0
62,ART0003785,BUDGET,ODP16-16557,Tornitura,A20,RIS14,2.5,30.0
63,ART0003785,BUDGET,ODP16-16557,Tornitura,A20,RIS14,1.0,0.0
64,ART0001188,BUDGET,ODP16-17333,Tornitura,A20,RIS2,0.5,1.0
65,ART0001817,BUDGET,ODP16-14758,Fresatura,A30,RIS7,0.5,3.0
66,ART0001214,BUDGET,ODP16-17333,Tornitura,A20,RIS14,2.0,1.0
67,ART0001214,BUDGET,ODP16-17333,Tornitura,A20,RIS14,1.0,0.0
68,ART0001188,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.25,1.0
69,ART0002144,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.5,1.0
70,ART0002132,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.5,1.0
71,ART0001154,BUDGET,ODP16-17335,Tornitura,A20,RIS13,1.5,29.0
72,ART0002145,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.0,1.0
73,ART0002511,BUDGET,ODP16-17333,Tornitura,A20,RIS1,1.0,1.0
74,ART0002513,BUDGET,ODP16-15976,Controllo qualità,CQ,RIS16,0.0,7.0
75,ART0003935,BUDGET,ODP16-16479,Fresatura,A30,RIS9,0.83,1.0
76,ART0003785,BUDGET,ODP16-16557,Controllo qualità,CQ,RIS16,0.0,30.0
77,ART0001253,BUDGET,ODP16-15711,Controllo qualità,CQ,RIS16,0.0,1.0
78,ART0001741,BUDGET,ODP16-15711,Controllo qualità,CQ,RIS16,0.0,1.0
79,ART0002551,BUDGET,ODP16-15980,Controllo qualità,CQ,RIS16,0.0,3.0
80,ART0002102,BUDGET,ODP16-16942,Fresatura,A30,RIS7,6.25,26.0
81,ART0002552,BUDGET,ODP16-15980,Tornitura,A20,RIS2,1.0,3.0
82,ART0002511,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.25,0.0
83,ART0002511,BUDGET,ODP16-17333,Fresatura,A30,RIS7,0.25,1.0
84,ART0002552,BUDGET,ODP16-15980,Tornitura,A20,RIS2,0.5,0.0
85,ART0000308,BUDGET,ODP16-16945,Fresatura,A30,RIS2,0.25,0.0
86,ART0001214,BUDGET,ODP16-17333,Fresatura,A30,RIS7,1.0,1.0
87,ART0002012,BUDGET,ODP16-17338,Tornitura,A20,RIS1,1.5,0.0
88,ART0002996,BUDGET,ODP17-00272,Fresatura,A30,RIS9,3.75,2.0
89,ART0001886,BUDGET,ODP16-17386,Tornitura,A20,RIS14,4.0,15.0
90,ART0001886,BUDGET,ODP16-17386,Tornitura,A20,RIS14,3.0,0.0
91,ART0000308,BUDGET,ODP16-16945,Fresatura,A30,RIS9,0.5,0.0
92,ART0001886,BUDGET,ODP16-17386,Fresatura,A30,RIS7,5.0,0.0
93,ART0000308,BUDGET,ODP16-16945,Fresatura,A30,RIS9,0.75,10.0
94,ART0000644,BUDGET,ODP16-16561,Controllo qualità,CQ,RIS16,0.0,21.0
95,ART0000625,BUDGET,ODP16-15709,Controllo qualità,CQ,RIS16,0.0,5.0
96,ART0000630,BUDGET,ODP16-16561,Controllo qualità,CQ,RIS16,0.0,30.0
97,ART0000627,BUDGET,ODP16-15709,Controllo qualità,CQ,RIS16,0.0,20.0
98,ART0005136,BUDGET,ODP16-16477,Controllo qualità,CQ,RIS16,0.0,1.0
99,ART0005136,BUDGET,ODP16-16477,Controllo qualità,CQ,RIS16,0.0,1.0
100,ART0000639,BUDGET,ODP16-15709,Controllo qualità,CQ,RIS16,0.0,7.0
101,ART0002552,BUDGET,ODP16-15980,Fresatura,A30,RIS9,0.75,3.0
102,ART0002552,BUDGET,ODP16-15980,Controllo qualità,CQ,RIS16,0.0,3.0
103,ART0002012,BUDGET,ODP16-17338,Fresatura,A30,RIS9,0.75,2.0
104,ART0002012,BUDGET,ODP16-17338,Tornitura,A20,RIS2,1.0,0.0
105,ART0001886,BUDGET,ODP16-17386,Fresatura,A30,RIS7,2.75,15.0
106,ART0001238,BUDGET,ODP16-17337,Tornitura,A20,RIS2,0.5,1.0
107,ART0001779,BUDGET,ODP16-14652,Controllo qualità,CQ,RIS16,0.0,8.0
108,ART0001743,BUDGET,ODP16-15980,Controllo qualità,CQ,RIS16,0.0,3.0
109,ART0005136,BUDGET,ODP17-00416,Tornitura,A20,RIS2,1.0,1.0
110,ART0002740,BUDGET,ODP16-16942,Controllo qualità,CQ,RIS16,0.0,40.0
111,ART0002012,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.0,2.0
112,ART0002274,BUDGET,ODP16-17338,Tornitura,A20,RIS1,4.0,2.0
113,ART0005136,BUDGET,ODP17-00416,Brocciatura / stozzatrice,A33,RIS2,0.5,1.0
114,ART0001897,BUDGET,ODP16-17384,Tornitura,A20,RIS14,2.0,15.0
115,ART0001897,BUDGET,ODP16-17384,Tornitura,A20,RIS14,4.5,0.0
116,ART0001920,BUDGET,ODP17-00323,Tornitura,A20,RIS14,3.0,3.0
117,ART0001897,BUDGET,ODP16-17384,Fresatura,A30,RIS7,4.5,0.0
118,ART0000850,BUDGET,ODP16-14652,Controllo qualità,CQ,RIS16,0.0,8.0
119,ART0001228,BUDGET,ODP16-17337,Tornitura,A20,RIS2,0.25,1.0
120,ART0000758,BUDGET,ODP16-16047,Controllo qualità,CQ,RIS16,0.0,6.0
121,ART0001897,BUDGET,ODP16-17384,Fresatura,A30,RIS7,3.0,15.0
122,ART0001920,BUDGET,ODP17-00323,Fresatura,A30,RIS7,3.5,3.0
123,ART0003824,BUDGET,ODP16-14469,Tornitura,A20,RIS14,3.5,43.0
124,ART0005136,BUDGET,ODP17-00667,Fresatura,A30,RIS9,8.25,1.0
125,ART0005136,BUDGET,ODP17-00667,Foratura/Maschiatura,A32,RIS9,3.0,0.0
126,ART0002273,BUDGET,ODP17-00272,Tornitura,A20,RIS2,2.0,1.0
127,ART0002274,BUDGET,ODP16-17338,Fresatura,A30,RIS9,0.75,2.0
128,ART0002273,BUDGET,ODP17-00272,Fresatura,A30,RIS9,0.5,1.0
129,ART0002274,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.0,2.0
130,ART0002753,BUDGET,ODP16-17337,Fresatura,A30,RIS7,2.5,2.0
131,ART0004146,BUDGET,ODP16-13864,Montaggio,A40,RIS11,2.0,31.0
132,ART0002997,BUDGET,ODP16-17338,Tornitura,A20,RIS2,2.0,0.0
133,ART0002385,BUDGET,ODP17-00322,Tornitura,A20,RIS14,5.0,25.0
134,ART0002385,BUDGET,ODP17-00322,Tornitura,A20,RIS14,3.5,0.0
135,ART0004175,BUDGET,ODP16-16946,Tornitura,A20,RIS14,3.0,1.0
136,ART0002102,BUDGET,ODP16-16942,Controllo qualità,CQ,RIS16,0.0,26.0
137,ART0001214,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.0,1.0
138,ART0002366,BUDGET,ODP16-16942,Controllo qualità,CQ,RIS16,0.0,4.0
139,ART0001188,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.0,1.0
140,ART0002132,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.0,1.0
141,ART0002144,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.0,1.0
142,ART0002997,BUDGET,ODP16-17338,Tornitura,A20,RIS2,5.0,2.0
143,ART0002511,BUDGET,ODP16-17333,Controllo qualità,CQ,RIS16,0.0,1.0
144,ART0002997,BUDGET,ODP16-17338,Fresatura,A30,RIS7,4.5,2.0
145,ART0002997,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.0,2.0
146,ART0001785,BUDGET,ODP16-17384,Tornitura,A20,RIS14,5.0,15.0
147,ART0001785,BUDGET,ODP16-17384,Tornitura,A20,RIS14,1.5,0.0
148,ART0003197,BUDGET,ODP16-17338,Fresatura,A30,RIS9,0.5,3.0
149,ART0000313,BUDGET,ODP17-00418,Controllo qualità,CQ,RIS16,0.0,7.0
150,ART0001785,BUDGET,ODP16-17384,Fresatura,A30,RIS7,6.0,16.0
151,ART0000308,BUDGET,ODP16-16945,Controllo qualità,CQ,RIS16,0.0,10.0
152,ART0002273,BUDGET,ODP17-00272,Controllo qualità,CQ,RIS16,0.0,1.0
153,ART0003824,BUDGET,ODP16-14469,Controllo qualità,CQ,RIS16,0.0,43.0
154,ART0001238,BUDGET,ODP16-17337,Controllo qualità,CQ,RIS16,0.0,1.0
155,ART0003197,BUDGET,ODP16-17338,Controllo qualità,CQ,RIS16,0.0,3.0
156,ART0001785,BUDGET,ODP16-17384,Controllo qualità,CQ,RIS16,0.0,16.0
157,ART0001228,BUDGET,ODP16-17337,Controllo qualità,CQ,RIS16,0.0,1.0
158,ART0002513,BUDGET,ODP17-00855,Tornitura,A20,RIS14,2.5,5.0
159,ART0002753,BUDGET,ODP16-17337,Controllo qualità,CQ,RIS16,0.0,2.0
160,ART0000805,BUDGET,ODP17-00975,Montaggio,A40,RIS4,0.5,1.0
161,ART0000805,BUDGET,ODP17-00975,Controllo qualità,CQ,RIS16,0.0,1.0
162,ART0005136,BUDGET,ODP17-01034,Fresatura,A30,RIS9,1.0,4.0
163,ART0005136,BUDGET,ODP17-00667,Tornitura,A20,RIS1,8.0,0.0
164,ART0002513,BUDGET,ODP17-00855,Fresatura,A30,RIS7,1.0,5.0
165,ART0000630,BUDGET,ODP17-00857,Fresatura,A30,RIS9,1.5,0.0
166,ART0005136,BUDGET,ODP17-01034,Tornitura,A20,RIS2,2.0,4.0
167,ART0001926,BUDGET,ODP16-14758,Controllo qualità,CQ,RIS16,0.0,3.0
168,ART0005136,BUDGET,ODP17-01034,Tornitura,A20,RIS2,0.5,4.0
169,ART0001766,BUDGET,ODP17-00323,Tornitura,A20,RIS14,2.5,4.0
170,ART0001811,BUDGET,ODP16-17117,Tornitura,A20,RIS14,5.0,7.0
171,ART0005136,BUDGET,ODP17-01034,Controllo qualità,CQ,RIS16,0.0,4.0
172,ART0005136,BUDGET,ODP17-01034,Controllo qualità,CQ,RIS16,0.0,4.0
173,ART0005136,BUDGET,ODP17-01034,Controllo qualità,CQ,RIS16,0.0,4.0
174,ART0002385,BUDGET,ODP17-00322,Controllo qualità,CQ,RIS16,0.0,25.0
175,ART0005136,BUDGET,ODP17-01203,Fresatura,A30,RIS9,1.0,1.0
176,ART0005136,BUDGET,ODP17-01203,Controllo qualità,CQ,RIS16,0.0,1.0
177,ART0001766,BUDGET,ODP17-00323,Fresatura,A30,RIS7,0.25,0.0
178,ART0003780,BUDGET,ODP17-00973,Tornitura,A20,RIS14,6.5,42.0
179,ART0001759,BUDGET,ODP17-01092,Tornitura,A20,RIS14,2.5,40.0
180,ART0001759,BUDGET,ODP17-01092,Tornitura,A20,RIS14,3.5,0.0
181,ART0001766,BUDGET,ODP17-00323,Fresatura,A30,RIS7,3.5,4.0
182,ART0001759,BUDGET,ODP17-01092,Tornitura,A20,RIS14,4.5,0.0
183,ART0001500,BUDGET,ODP17-00272,Tornitura,A20,RIS2,0.75,1.0
184,ART0001500,BUDGET,ODP17-00272,Controllo qualità,CQ,RIS16,0.0,1.0
185,ART0001811,BUDGET,ODP16-17117,Fresatura,A30,RIS7,0.75,0.0
186,ART0000125,BUDGET,ODP17-00418,Tornitura,A20,RIS2,1.5,1.0
187,ART0003780,BUDGET,ODP17-00973,Fresatura,A30,RIS11,1.5,0.0
188,ART0004146,BUDGET,ODP16-13864,Montaggio,A40,RIS1,4.5,0.0
189,ART0000125,BUDGET,ODP17-00418,Fresatura,A30,RIS2,1.5,1.0
190,ART0001811,BUDGET,ODP16-17117,Fresatura,A30,RIS7,5.25,7.0
191,ART0001593,BUDGET,ODP17-00976,Tornitura,A20,RIS2,0.75,4.0
192,ART0001811,BUDGET,ODP16-17117,Controllo qualità,CQ,RIS16,0.0,7.0
193,ART0004099,BUDGET,ODP17-00171,Montaggio,A40,RIS4,2.0,0.0
194,ART0004146,BUDGET,ODP16-13864,Montaggio,A40,RIS4,3.0,0.0
195,ART0000125,BUDGET,ODP17-00418,Fresatura,A30,RIS7,1.25,1.0
196,ART0000128,BUDGET,ODP16-15233,Controllo qualità,CQ,RIS16,0.0,11.0
197,ART0000312,BUDGET,ODP16-15706,Controllo qualità,CQ,RIS16,0.0,44.0
198,ART0000752,BUDGET,ODP16-17117,Montaggio,A40,RIS4,0.5,1.0
199,ART0000752,BUDGET,ODP16-17117,Controllo qualità,CQ,RIS16,0.0,1.0
200,ART0001593,BUDGET,ODP17-00976,Fresatura,A30,RIS7,0.25,4.0
201,ART0003160,BUDGET,ODP17-00976,Tornitura,A20,RIS1,1.5,1.0
202,ART0001759,BUDGET,ODP17-01092,Fresatura,A30,RIS7,5.25,40.0
203,ART0000630,BUDGET,ODP17-00857,Fresatura,A30,RIS9,5.0,21.0
204,ART0001866,BUDGET,ODP17-01092,Fresatura,A30,RIS7,2.25,0.0
205,ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,4.5,40.0
206,ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,9.5,0.0
207,ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,8.5,0.0
208,ART0001866,BUDGET,ODP17-01092,Tornitura,A20,RIS14,5.0,0.0
209,ART0002010,BUDGET,ODP17-01401,Tornitura,A20,RIS2,1.0,3.0
210,ART0001866,BUDGET,ODP17-01092,Fresatura,A30,RIS7,7.75,0.0
211,ART0001593,BUDGET,ODP17-00976,Controllo qualità,CQ,RIS16,0.0,4.0
212,ART0002513,BUDGET,ODP17-00855,Controllo qualità,CQ,RIS16,0.0,5.0
213,ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,3.0,15.0
214,ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,4.0,0.0
215,ART0001866,BUDGET,ODP17-01092,Fresatura,A30,RIS7,5.0,40.0
216,ART0001866,BUDGET,ODP17-01092,Brocciatura / stozzatrice,A33,RIS13,2.5,40.0
217,ART0001874,BUDGET,ODP17-01406,Tornitura,A20,RIS2,0.5,1.0
218,ART0002010,BUDGET,ODP17-01401,Fresatura,A30,RIS7,0.75,3.0
219,ART0002267,BUDGET,ODP17-01401,Tornitura,A20,RIS2,2.5,2.0
220,ART0002140,BUDGET,ODP17-01403,Tornitura,A20,RIS2,1.0,1.0
221,ART0002139,BUDGET,ODP17-01403,Tornitura,A20,RIS2,1.0,1.0
222,ART0001249,BUDGET,ODP17-01401,Tornitura,A20,RIS2,0.5,1.0
223,ART0001874,BUDGET,ODP17-01406,Tornitura,A20,RIS1,1.5,0.0
224,ART0001759,BUDGET,ODP17-01092,Fresatura,A30,RIS7,2.5,0.0
225,ART0001759,BUDGET,ODP17-01092,Controllo qualità,CQ,RIS16,0.0,40.0
226,ART0002139,BUDGET,ODP17-01403,Fresatura,A30,RIS7,0.5,1.0
227,ART0002140,BUDGET,ODP17-01403,Fresatura,A30,RIS7,1.0,1.0
228,ART0002793,BUDGET,ODP17-00856,Fresatura,A30,RIS9,5.0,20.0
229,ART0002140,BUDGET,ODP17-01403,Tornitura,A20,RIS2,0.25,0.0
230,ART0002267,BUDGET,ODP17-01401,Fresatura,A30,RIS7,0.75,2.0
231,ART0000131,BUDGET,ODP16-16476,Tornitura,A20,RIS2,5.0,7.0
232,ART0001874,BUDGET,ODP17-01406,Fresatura,A30,RIS7,2.0,1.0
233,ART0002895,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.25,0.0
234,ART0002896,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.25,0.0
235,ART0000131,BUDGET,ODP16-16476,Fresatura,A30,RIS7,1.0,0.0
236,ART0000131,BUDGET,ODP16-16476,Fresatura,A30,RIS7,0.75,7.0
237,ART0003160,BUDGET,ODP17-00976,Controllo qualità,CQ,RIS16,0.0,1.0
238,ART0000131,BUDGET,ODP16-16476,Controllo qualità,CQ,RIS16,0.0,7.0
239,ART0002896,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.0,1.0
240,ART0002895,BUDGET,ODP17-01403,Fresatura,A30,RIS9,1.0,1.0
241,ART0001766,BUDGET,ODP17-00323,Controllo qualità,CQ,RIS16,0.0,4.0
242,ART0000782,BUDGET,ODP17-01274,Montaggio,A40,RIS4,1.0,3.0
243,ART0000782,BUDGET,ODP17-01274,Controllo qualità,CQ,RIS16,0.0,3.0
244,ART0003135,BUDGET,ODP17-01401,Fresatura,A30,RIS9,0.25,4.0
245,ART0003135,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.0,4.0
246,ART0001886,BUDGET,ODP17-01410,Tornitura,A20,RIS14,2.0,15.0
247,ART0001886,BUDGET,ODP17-01410,Tornitura,A20,RIS14,3.5,0.0
248,ART0002793,BUDGET,ODP17-00856,Controllo qualità,CQ,RIS16,0.0,20.0
249,ART0000804,BUDGET,ODP17-01276,Montaggio,A40,RIS4,3.5,10.0
250,ART0002267,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.0,2.0
251,ART0001249,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.0,1.0
252,ART0002140,BUDGET,ODP17-01403,Controllo qualità,CQ,RIS16,0.0,1.0
253,ART0000762,BUDGET,ODP17-01090,Montaggio,A40,RIS4,3.5,10.0
254,ART0000804,BUDGET,ODP17-01276,Controllo qualità,CQ,RIS16,0.0,3.0
255,ART0000762,BUDGET,ODP17-01090,Controllo qualità,CQ,RIS16,0.0,10.0
256,ART0002139,BUDGET,ODP17-01403,Controllo qualità,CQ,RIS16,0.0,1.0
257,ART0002010,BUDGET,ODP17-01401,Controllo qualità,CQ,RIS16,0.0,3.0
258,ART0001921,BUDGET,ODP17-01273,Tornitura,A20,RIS14,5.5,12.0
259,ART0001775,BUDGET,ODP16-17386,Fresatura,A30,RIS9,2.0,0.0
260,ART0001923,BUDGET,ODP17-01277,Tornitura,A20,RIS1,5.0,4.0
261,ART0001923,BUDGET,ODP17-01277,Tornitura,A20,RIS2,1.5,0.0
262,ART0001765,BUDGET,ODP17-01269,Tornitura,A20,RIS14,2.0,6.0
263,ART0002070,BUDGET,ODP17-01405,Tornitura,A20,RIS2,1.25,1.0
264,ART0001775,BUDGET,ODP16-17386,Fresatura,A30,RIS9,6.75,30.0
265,ART0001920,BUDGET,ODP17-00323,Controllo qualità,CQ,RIS16,0.0,3.0
266,ART0001886,BUDGET,ODP17-01410,Fresatura,A30,RIS9,1.75,0.0
267,ART0000825,BUDGET,ODP17-00323,Montaggio,A40,RIS4,2.0,3.0
268,ART0001897,BUDGET,ODP16-17384,Controllo qualità,CQ,RIS16,0.0,15.0
269,ART0001886,BUDGET,ODP16-17386,Controllo qualità,CQ,RIS16,0.0,15.0
270,ART0000825,BUDGET,ODP17-00323,Controllo qualità,CQ,RIS16,0.0,3.0
271,ART0002139,BUDGET,ODP17-01403,Fresatura,A30,RIS7,0.15,0.0
272,ART0000804,BUDGET,ODP17-01276,Montaggio,A40,RIS4,-2.5,0.0
273,ART0001886,BUDGET,ODP17-01410,Fresatura,A30,RIS9,3.15,15.0
274,ART0004152,BUDGET,ODP17-01270,Tornitura,A20,RIS14,1.5,0.0
275,ART0004152,BUDGET,ODP17-01270,Tornitura,A20,RIS14,9.0,0.0
276,ART0004152,BUDGET,ODP17-01270,Tornitura,A20,RIS14,2.0,30.0
277,ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,4.0,0.0
278,ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,2.0,0.0
279,ART0001775,BUDGET,ODP16-17386,Tornitura,A20,RIS14,3.0,15.0
280,ART0002866,BUDGET,ODP17-01501,Tornitura,A20,RIS14,2.5,3.0
281,ART0002866,BUDGET,ODP17-01501,Fresatura,A30,RIS7,1.75,3.0
282,ART0001765,BUDGET,ODP17-01269,Fresatura,A30,RIS7,1.5,0.0
283,ART0001765,BUDGET,ODP17-01269,Fresatura,A30,RIS7,0.5,6.0
284,ART0002866,BUDGET,ODP17-01501,Controllo qualità,CQ,RIS16,0.0,3.0
285,ART0001765,BUDGET,ODP17-01269,Controllo qualità,CQ,RIS16,0.0,6.0
286,ART0001886,BUDGET,ODP17-01410,Fresatura,A30,RIS7,1.25,0.0
287,ART0002015,BUDGET,ODP17-01405,Tornitura,A20,RIS2,1.0,1.0
288,ART0001895,BUDGET,ODP17-01509,Tornitura,A20,RIS14,3.0,6.0
289,ART0003610,BUDGET,ODP17-00973,Tornitura,A20,RIS14,3.0,8.0
290,ART0000762,BUDGET,ODP16-17384,Montaggio,A40,RIS4,3.0,15.0
291,ART0000762,BUDGET,ODP16-17384,Controllo qualità,CQ,RIS16,0.0,15.0
292,ART0000756,BUDGET,ODP17-01269,Montaggio,A40,RIS11,1.0,5.0
293,ART0000756,BUDGET,ODP17-01269,Controllo qualità,CQ,RIS16,0.0,5.0
294,ART0001923,BUDGET,ODP17-01277,Fresatura,A30,RIS7,3.75,4.0
295,ART0001895,BUDGET,ODP17-01509,Fresatura,A30,RIS7,3.0,6.0
296,ART0003610,BUDGET,ODP17-00973,Controllo qualità,CQ,RIS16,0.0,8.0
297,ART0001783,BUDGET,ODP17-01509,Tornitura,A20,RIS14,3.5,6.0
298,ART0003780,BUDGET,ODP17-00973,Controllo qualità,CQ,RIS16,0.0,42.0
299,ART0001813,BUDGET,ODP17-01277,Tornitura,A20,RIS14,2.0,4.0
300,ART0000848,BUDGET,ODP16-17386,Montaggio,A40,RIS4,1.5,15.0
301,ART0000848,BUDGET,ODP16-17386,Montaggio,A40,RIS13,1.5,15.0
302,ART0001921,BUDGET,ODP17-01273,Fresatura,A30,RIS7,0.25,0.0
303,ART0002740,BUDGET,ODP17-01511,Tornitura,A20,RIS2,3.75,0.0
304,ART0000765,BUDGET,ODP17-01510,Montaggio,A40,RIS4,0.25,1.0
305,ART0000765,BUDGET,ODP17-01510,Controllo qualità,CQ,RIS16,0.0,1.0
306,ART0002740,BUDGET,ODP17-01511,Tornitura,A20,RIS2,2.25,40.0
307,ART0001762,BUDGET,ODP17-01406,Tornitura,A20,RIS14,2.5,1.0
308,ART0001921,BUDGET,ODP17-01273,Fresatura,A30,RIS7,5.5,11.0
