,NrArticolo,budgetConsuntivo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,QuantitydiOutput
4976,ART0004420,CONSUNTIVO,ODP19-00474,Controllo qualità,CQ,RIS16,0.0,6.0
4977,ART0000847,CONSUNTIVO,ODP18-08812,Montaggio,A40,RIS13,0.5,0.0
4978,ART0000847,CONSUNTIVO,ODP18-08749,Montaggio,A40,RIS13,0.75,0.0
4979,ART0001775,CONSUNTIVO,ODP18-08812,Fresatura,A30,RIS5,4.25,0.0
4980,ART0001775,CONSUNTIVO,ODP18-08812,Fresatura,A30,RIS5,0.75,0.0
4981,ART0002360,CONSUNTIVO,ODP19-00617,Tornitura,A20,RIS2,2.0,2.0
4982,ART0002753,CONSUNTIVO,ODP19-00251,Tornitura,A20,RIS11,4.5,2.0
4983,ART0001775,CONSUNTIVO,ODP18-08812,Fresatura,A30,RIS5,2.25,25.0
4984,ART0001811,CONSUNTIVO,ODP18-08573,Tornitura,A20,RIS1,9.0,0.0
4985,ART0002360,CONSUNTIVO,ODP19-00617,Saldatura,A11,RIS3,0.33,2.0
4986,ART0001743,CONSUNTIVO,ODP19-00122,Tornitura,A20,RIS11,4.0,0.0
4987,ART0001811,CONSUNTIVO,ODP18-08573,Tornitura,A20,RIS1,4.0,0.0
4988,ART0001775,CONSUNTIVO,ODP18-08812,Controllo qualità,CQ,RIS16,0.0,25.0
4989,ART0002554,CONSUNTIVO,ODP18-08816,Controllo qualità,CQ,RIS16,0.0,3.0
4990,ART0001238,CONSUNTIVO,ODP19-00251,Controllo qualità,CQ,RIS16,0.0,1.0
4991,ART0001228,CONSUNTIVO,ODP19-00251,Controllo qualità,CQ,RIS16,0.0,1.0
4992,ART0002360,CONSUNTIVO,ODP19-00617,Tornitura,A20,RIS2,2.0,0.0
4993,ART0001811,CONSUNTIVO,ODP18-08573,Controllo qualità,CQ,RIS16,0.0,10.0
4994,ART0000752,CONSUNTIVO,ODP18-08573,Montaggio,A40,RIS13,1.5,10.0
4995,ART0000752,CONSUNTIVO,ODP18-08573,Controllo qualità,CQ,RIS16,0.0,10.0
4996,ART0001743,CONSUNTIVO,ODP19-00122,Tornitura,A20,RIS11,4.0,3.0
4997,ART0002102,CONSUNTIVO,ODP19-00369,Tornitura,A20,RIS2,0.5,0.0
4998,ART0005136,CONSUNTIVO,ODP19-00127,Fresatura,A30,RIS5,6.0,19.0
4999,ART0001811,CONSUNTIVO,ODP18-08573,Tornitura,A20,RIS1,8.0,16.0
5000,ART0001811,CONSUNTIVO,ODP18-08573,Fresatura,A30,RIS1,0.0001,0.0
5001,ART0001811,CONSUNTIVO,ODP18-08573,Controllo qualità,CQ,RIS16,0.0,6.0
5002,ART0002102,CONSUNTIVO,ODP19-00369,Tornitura,A20,RIS2,2.75,13.0
5003,ART0000756,CONSUNTIVO,ODP18-09297,Montaggio,A40,RIS13,1.5,5.0
5004,ART0000756,CONSUNTIVO,ODP18-09297,Controllo qualità,CQ,RIS16,0.0,5.0
5005,ART0001989,CONSUNTIVO,ODP19-00622,Tornitura,A20,RIS2,2.5,6.0
5006,ART0001989,CONSUNTIVO,ODP19-00622,Controllo qualità,CQ,RIS16,0.0,6.0
5007,ART0001743,CONSUNTIVO,ODP19-00122,Fresatura,A30,RIS5,6.0,3.0
5008,ART0001940,CONSUNTIVO,ODP19-00621,Tornitura,A20,RIS14,0.5,5.0
5009,ART0001940,CONSUNTIVO,ODP19-00621,Tornitura,A20,RIS2,4.25,0.0
5010,ART0001895,CONSUNTIVO,ODP18-08749,Controllo qualità,CQ,RIS16,0.0,10.0
5011,ART0001940,CONSUNTIVO,ODP19-00621,Saldatura,A11,RIS3,0.75,5.0
5012,ART0002753,CONSUNTIVO,ODP19-00251,Fresatura,A30,RIS5,2.0,2.0
5013,ART0000848,CONSUNTIVO,ODP18-08812,Montaggio,A40,RIS13,4.0,14.0
5014,ART0000848,CONSUNTIVO,ODP18-08812,Controllo qualità,CQ,RIS16,0.0,14.0
5015,ART0005136,CONSUNTIVO,ODP19-01040,Tornitura,A20,RIS2,0.5,6.0
5016,ART0001940,CONSUNTIVO,ODP19-00621,Fresatura,A30,RIS1,5.0,5.0
5017,ART0000853,CONSUNTIVO,ODP18-06048,Montaggio,A40,RIS13,1.5,10.0
5018,ART0000853,CONSUNTIVO,ODP18-06048,Controllo qualità,CQ,RIS16,0.0,10.0
5019,ART0005136,CONSUNTIVO,ODP19-01040,Controllo qualità,CQ,RIS16,0.0,6.0
5020,ART0005136,CONSUNTIVO,ODP19-01043,Fresatura,A30,RIS5,0.5,1.0
5021,ART0005136,CONSUNTIVO,ODP19-01043,Montaggio,A40,RIS13,0.5,1.0
5022,ART0005136,CONSUNTIVO,ODP19-01043,Controllo qualità,CQ,RIS16,0.0,1.0
5023,ART0005136,CONSUNTIVO,ODP19-01043,Fresatura,A30,RIS5,1.0,2.0
5024,ART0005136,CONSUNTIVO,ODP19-01043,Montaggio,A40,RIS13,1.0,2.0
5025,ART0005136,CONSUNTIVO,ODP19-01043,Controllo qualità,CQ,RIS16,0.0,2.0
5026,ART0001950,CONSUNTIVO,ODP18-08800,Controllo qualità,CQ,RIS16,0.0,1.0
5027,ART0001898,CONSUNTIVO,ODP19-00902,Tornitura,A20,RIS1,5.0,0.0
5028,ART0001514,CONSUNTIVO,ODP19-00621,Tornitura,A20,RIS2,2.5,5.0
5029,ART0001898,CONSUNTIVO,ODP19-00902,Tornitura,A20,RIS1,2.0,6.0
5030,ART0001898,CONSUNTIVO,ODP19-00902,Brocciatura / stozzatrice,A33,RIS1,1e-05,6.0
5031,ART0002451,CONSUNTIVO,ODP19-01039,Tornitura,A20,RIS2,0.5,0.0
5032,ART0000782,CONSUNTIVO,ODP19-00104,Montaggio,A40,RIS13,0.25,1.0
5033,ART0000782,CONSUNTIVO,ODP19-00104,Controllo qualità,CQ,RIS16,0.0,1.0
5034,ART0000782,CONSUNTIVO,ODP18-08749,Montaggio,A40,RIS13,0.25,1.0
5035,ART0000782,CONSUNTIVO,ODP18-08749,Controllo qualità,CQ,RIS16,0.0,1.0
5036,ART0001799,CONSUNTIVO,ODP19-00104,Fresatura,A30,RIS5,3.0,0.0
5037,ART0001799,CONSUNTIVO,ODP19-00104,Fresatura,A30,RIS5,2.0,33.0
5038,ART0000830,CONSUNTIVO,ODP18-08800,Montaggio,A40,RIS13,1.0,1.0
5039,ART0000830,CONSUNTIVO,ODP18-08800,Controllo qualità,CQ,RIS16,0.0,1.0
5040,ART0002451,CONSUNTIVO,ODP19-01039,Tornitura,A20,RIS2,4.5,4.0
5041,ART0005136,CONSUNTIVO,ODP19-00126,Tornitura,A20,RIS13,2.0,18.0
5042,ART0001830,CONSUNTIVO,ODP19-00621,Tornitura,A20,RIS1,6.0,0.0
5043,ART0001830,CONSUNTIVO,ODP19-00621,Tornitura,A20,RIS1,2.0,5.0
5044,ART0001830,CONSUNTIVO,ODP19-00621,Fresatura,A30,RIS1,0.0001,5.0
5045,ART0000847,CONSUNTIVO,ODP18-09297,Montaggio,A40,RIS13,1.5,4.0
5046,ART0000847,CONSUNTIVO,ODP18-09297,Controllo qualità,CQ,RIS16,0.0,4.0
5047,ART0002041,CONSUNTIVO,ODP19-01037,Tornitura,A20,RIS2,3.75,6.0
5048,ART0001813,CONSUNTIVO,ODP19-00622,Tornitura,A20,RIS1,5.0,4.0
5049,ART0001813,CONSUNTIVO,ODP19-00622,Fresatura,A30,RIS1,0.0001,4.0
5050,ART0002451,CONSUNTIVO,ODP19-01039,Fresatura,A30,RIS5,2.0,4.0
5051,ART0002041,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS5,0.75,0.0
5052,ART0002041,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS5,0.75,6.0
5053,ART0001514,CONSUNTIVO,ODP19-00621,Fresatura,A30,RIS5,1.25,5.0
5054,ART0002360,CONSUNTIVO,ODP19-00617,Fresatura,A30,RIS5,2.25,2.0
5055,ART0002102,CONSUNTIVO,ODP19-00369,Fresatura,A30,RIS5,3.5,12.0
5056,ART0002615,CONSUNTIVO,ODP19-00829,Tornitura,A20,RIS2,2.0,3.0
5057,ART0002517,CONSUNTIVO,ODP19-01120,Tornitura,A20,RIS2,1.0,3.0
5058,ART0002195,CONSUNTIVO,ODP19-01120,Tornitura,A20,RIS2,2.5,3.0
5059,ART0002860,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS14,3.25,6.0
5060,ART0002860,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS14,3.25,0.0
5061,ART0002859,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS14,3.25,6.0
5062,ART0002859,CONSUNTIVO,ODP19-01037,Fresatura,A30,RIS14,3.25,0.0
5063,ART0005136,CONSUNTIVO,ODP19-01422,Tornitura,A20,RIS2,0.0,4.0
5064,ART0001743,CONSUNTIVO,ODP19-00122,Controllo qualità,CQ,RIS16,0.0,3.0
5065,ART0005136,CONSUNTIVO,ODP19-01422,,A20,RIS2,0.5,0.0
5066,ART0002753,CONSUNTIVO,ODP19-00251,Controllo qualità,CQ,RIS16,0.0,2.0
5067,ART0001497,CONSUNTIVO,ODP19-01121,Tornitura,A20,RIS2,1.0,2.0
5068,ART0002517,CONSUNTIVO,ODP19-01120,Fresatura,A30,RIS5,0.75,3.0
5069,ART0001799,CONSUNTIVO,ODP19-00104,Fresatura,A30,RIS1,0.75,0.0
5070,ART0002615,CONSUNTIVO,ODP19-00829,Fresatura,A30,RIS5,1.25,3.0
5071,ART0002195,CONSUNTIVO,ODP19-01120,Fresatura,A30,RIS5,2.0,3.0
5072,ART0001162,CONSUNTIVO,ODP19-01427,Tornitura,A20,RIS2,2.75,1.0
5073,ART0001777,CONSUNTIVO,ODP19-01110,Tornitura,A20,RIS1,5.5,12.0
5074,ART0001777,CONSUNTIVO,ODP19-01110,Fresatura,A30,RIS1,0.0001,12.0
