,NrArticolo,NrOrdineProduzione,NrMovimentoMP,CodiceMP,QuantityMPImpiegata,ImportoCostoTotaleMP,QuantitydiOutput
322,ART0001921,ODP17-01273,24177,ART0005171,1375.0,112.68,11.0
323,ART0001994,ODP17-09767,31957,ART0005599,11.0,105.6,11.0
324,ART0002444,ODP17-09329,32173,ART0005722,418.0,21.85,11.0
325,ART0003277,ODP17-04828,27127,ART0005395,935.0,9.82,11.0
326,ART0000119,ODP17-08969,31137,ART0005792,310.0,16.51,10.0
327,ART0000308,ODP16-16945,22400,ART0005239,80.0,12.4,10.0
328,ART0000456,ODP17-04656,28513,ART0005224,140.0,7.84,10.0
329,ART0000625,ODP17-10512,33543,ART0005209,2400.0,145.0,10.0
330,ART0000635,ODP17-01693,23836,ART0005211,10.0,30.0,10.0
331,ART0000635,ODP17-10512,33545,ART0005211,10.0,30.0,10.0
332,ART0000638,ODP17-04653,27243,ART0005607,10.0,30.0,10.0
333,ART0000639,ODP17-10512,33546,ART0005373,950.0,34.44,10.0
334,ART0000645,ODP17-10512,33548,ART0005871,1300.0,158.66,10.0
335,ART0000690,ODP17-01508,23548,ART0005348,450.0,11.22,10.0
336,ART0000748,ODP17-10871,34074,ART0001868,50.0,1308.66,10.0
337,ART0000748,ODP17-10871,34075,ART0001756,50.0,1212.5,10.0
338,ART0000748,ODP17-10871,34076,ART0005432,50.0,175.0,10.0
339,ART0000748,ODP17-10871,34077,ART0005433,50.0,50.0,10.0
340,ART0000748,ODP17-10871,34078,ART0005242,100.0,142.63,10.0
341,ART0000748,ODP17-10871,34079,ART0005243,50.0,5.6,10.0
342,ART0000748,ODP17-10871,34080,ART0005677,50.0,12.6,10.0
343,ART0000753,ODP17-10508,32832,ART0001758,10.0,329.55,10.0
344,ART0000753,ODP17-10508,32833,ART0001872,10.0,1162.38,10.0
345,ART0000753,ODP17-10508,32834,ART0001425,20.0,20.58,10.0
346,ART0000753,ODP17-10508,32835,ART0005140,30.0,51.75,10.0
347,ART0000753,ODP17-10508,32836,ART0005141,10.0,5.13,10.0
348,ART0000753,ODP17-10508,32837,ART0003840,20.0,130.6,10.0
349,ART0000758,ODP17-05348,28338,ART0001772,10.0,511.61,10.0
350,ART0000758,ODP17-05348,28339,ART0001884,10.0,1170.01,10.0
351,ART0000758,ODP17-05348,28340,ART0001982,10.0,59.14,10.0
352,ART0000758,ODP17-05348,28341,ART0005149,10.0,0.0,10.0
353,ART0000758,ODP17-05348,28342,ART0005140,30.0,45.0,10.0
354,ART0000758,ODP17-05348,28343,ART0005225,10.0,0.0,10.0
355,ART0000758,ODP17-05348,28344,ART0005226,10.0,1.96,10.0
356,ART0000762,ODP16-14704,21706,ART0001897,10.0,1087.02,10.0
357,ART0000762,ODP16-14704,21707,ART0001785,10.0,405.15,10.0
358,ART0000762,ODP16-14704,21708,ART0005149,10.0,0.0,10.0
359,ART0000762,ODP16-14704,21709,ART0005140,30.0,45.0,10.0
360,ART0000762,ODP16-14704,21710,ART0005150,10.0,0.0,10.0
361,ART0000762,ODP16-14704,21711,ART0005151,10.0,1.47,10.0
362,ART0000762,ODP17-01090,23065,ART0001897,10.0,1085.87,10.0
363,ART0000762,ODP17-01090,23066,ART0001785,10.0,402.03,10.0
364,ART0000762,ODP17-01090,23067,ART0005149,10.0,0.0,10.0
365,ART0000762,ODP17-01090,23068,ART0005140,30.0,45.0,10.0
366,ART0000762,ODP17-01090,23069,ART0005150,10.0,0.0,10.0
367,ART0000762,ODP17-01090,23070,ART0005151,10.0,1.47,10.0
