,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
137,28863,BUDGET,ART0005699,ART0000642,ODP17-07536,5.0,62.5
138,37325,CONSUNTIVO,ART0005699,ART0000642,ODP18-01887,5.0,62.5
139,46460,CONSUNTIVO,ART0005699,ART0000642,ODP18-05908,5.0,62.5
140,25018,BUDGET,ART0005443,ART0000643,ODP17-02240,51.0,219.3
141,37822,CONSUNTIVO,ART0005443,ART0000643,ODP17-15961,62.0,266.6
142,22830,BUDGET,ART0005287,ART0000644,ODP16-16561,2646.0,79.64
143,25247,BUDGET,ART0005287,ART0000644,ODP17-02392,4200.0,126.42
144,33547,BUDGET,ART0005287,ART0000644,ODP17-10512,2971.0,89.43
145,37823,CONSUNTIVO,ART0005589,ART0000644,ODP17-15961,3969.0,151.43
146,42980,CONSUNTIVO,ART0005589,ART0000644,ODP18-04521,3780.0,144.21
147,22831,BUDGET,ART0005215,ART0000645,ODP16-16561,1495.0,209.9
148,23837,BUDGET,ART0005215,ART0000645,ODP17-01693,1495.0,209.89
149,26195,BUDGET,ART0005215,ART0000645,ODP17-03507,1040.0,146.01
150,33548,BUDGET,ART0005871,ART0000645,ODP17-10512,1300.0,158.66
151,37824,CONSUNTIVO,ART0005871,ART0000645,ODP17-15961,2112.0,258.5
152,38399,CONSUNTIVO,ART0005871,ART0000645,ODP18-02126,1320.0,161.56
153,23548,BUDGET,ART0005348,ART0000690,ODP17-01508,450.0,11.22
154,40886,CONSUNTIVO,ART0005216,ART0000690,ODP18-03627,3.0,0.0
155,43850,CONSUNTIVO,ART0005186,ART0000690,ODP18-05759,329.0,13.81
156,46461,CONSUNTIVO,ART0005216,ART0000690,ODP18-05908,5.0,0.0
157,63698,CONSUNTIVO,ART0005216,ART0000690,ODP19-05710,2.0,0.0
158,65725,CONSUNTIVO,ART0005186,ART0000690,ODP19-06201,61.0,1.82
159,65727,CONSUNTIVO,ART0005186,ART0000690,ODP19-06201,61.0,1.82
