,NrArticolo,NrOrdineProduzione,Descrizione,NrAreaProduzione,Risorsa,TempoRisorsa,CostoOrarioRisorsa,QuantitydiOutput,NrMovimentoMP,CodiceMP,QuantityMPImpiegata,ImportoCostoTotaleMP
150,ART0000228,ODP18-03095,Fresatura,A30,RIS9,4.5,50,0.0,39862,ART0006087,21156.0,431.61
151,ART0000228,ODP18-03095,Fresatura,A30,RIS9,0.5,50,0.0,39862,ART0006087,21156.0,431.61
152,ART0000228,ODP18-03095,Fresatura,A30,RIS11,5.5,60,0.0,39862,ART0006087,21156.0,431.61
153,ART0000228,ODP18-03095,Fresatura,A30,RIS11,8.5,60,0.0,39862,ART0006087,21156.0,431.61
154,ART0000228,ODP18-03095,Fresatura,A30,RIS9,1.0,50,86.0,39862,ART0006087,21156.0,431.61
155,ART0000228,ODP18-03095,Controllo qualità,CQ,RIS16,0.0,15,86.0,39862,ART0006087,21156.0,431.61
156,ART0000228,ODP19-01737,Fresatura,A30,RIS14,3.0,50,4.0,55192,ART0006087,984.0,17.3
157,ART0000228,ODP19-01737,Controllo qualità,CQ,RIS16,0.0,15,4.0,55192,ART0006087,984.0,17.3
158,ART0000229,ODP18-03044,Fresatura,A30,RIS1,9.0,80,0.0,39454,ART0005934,20972.0,318.17
159,ART0000229,ODP18-03044,Fresatura,A30,RIS11,2.0,60,0.0,39454,ART0005934,20972.0,318.17
160,ART0000229,ODP18-03044,Fresatura,A30,RIS11,5.33,60,100.0,39454,ART0005934,20972.0,318.17
161,ART0000229,ODP18-03044,Controllo qualità,CQ,RIS16,0.0,15,98.0,39454,ART0005934,20972.0,318.17
162,ART0000229,ODP19-01737,Fresatura,A30,RIS1,4.0,80,4.0,55193,ART0005934,5600.0,78.83
163,ART0000229,ODP19-01737,Fresatura,A30,RIS1,1.0,80,0.0,55193,ART0005934,5600.0,78.83
164,ART0000229,ODP19-01737,Fresatura,A30,RIS11,0.5,60,0.0,55193,ART0005934,5600.0,78.83
165,ART0000229,ODP19-01737,Controllo qualità,CQ,RIS16,0.0,15,4.0,55193,ART0005934,5600.0,78.83
166,ART0000229,ODP19-06689,Tornitura,A20,RIS1,2.5,80,0.0,67885,ART0005934,4008.0,56.42
167,ART0000229,ODP19-06689,Tornitura,A20,RIS1,6.0,80,24.0,67885,ART0005934,4008.0,56.42
168,ART0000229,ODP19-06689,Fresatura,A30,RIS1,0.0001,80,24.0,67885,ART0005934,4008.0,56.42
169,ART0000229,ODP19-06689,Controllo qualità,CQ,RIS16,0.0,15,24.0,67885,ART0005934,4008.0,56.42
170,ART0000308,ODP18-02445,Tornitura,A20,RIS1,4.0,80,25.0,41717,ART0005954,25.0,132.5
171,ART0000308,ODP18-02445,Controllo qualità,CQ,RIS16,0.0,15,25.0,41717,ART0005954,25.0,132.5
172,ART0000308,ODP19-01044,Tornitura,A20,RIS11,4.0,60,25.0,56528,ART0005954,25.0,75.0
173,ART0000308,ODP19-01044,Controllo qualità,CQ,RIS16,0.0,15,25.0,56528,ART0005954,25.0,75.0
174,ART0000308,ODP19-04860,Tornitura,A20,RIS6,3.5,60,0.0,64009,ART0005954,25.0,100.0
175,ART0000308,ODP19-04860,Tornitura,A20,RIS14,2.0,60,25.0,64009,ART0005954,25.0,100.0
176,ART0000308,ODP19-04860,Controllo qualità,CQ,RIS16,0.0,15,25.0,64009,ART0005954,25.0,100.0
177,ART0000312,ODP18-02984,Controllo qualità,CQ,RIS16,0.0,15,43.0,43577,ART0005289,43.0,86.0
178,ART0000312,ODP18-06496,Controllo qualità,CQ,RIS16,0.0,15,45.0,49991,ART0005289,45.0,90.0
179,ART0000312,ODP19-02793,Controllo qualità,CQ,RIS16,0.0,15,26.0,60128,ART0005289,26.0,26.0
180,ART0000312,ODP19-03999,Controllo qualità,CQ,RIS16,0.0,15,16.0,63071,ART0005289,16.0,25.6
181,ART0000313,ODP18-06831,Controllo qualità,CQ,RIS16,0.0,15,10.0,48707,ART0005377,10.0,97.0
182,ART0000313,ODP19-01976,Controllo qualità,CQ,RIS16,0.0,15,10.0,57631,ART0005377,10.0,35.0
183,ART0000313,ODP19-04860,Controllo qualità,CQ,RIS16,0.0,15,10.0,64012,ART0005377,10.0,52.0
184,ART0000320,ODP18-05889,Fresatura,A30,RIS5,1.5,50,4.0,47662,ART0005409,92.0,31.17
185,ART0000320,ODP18-05889,Controllo qualità,CQ,RIS16,0.0,15,4.0,47662,ART0005409,92.0,31.17
186,ART0000320,ODP19-01745,Fresatura,A30,RIS5,1.0,50,3.0,56426,ART0005491,69.0,29.89
187,ART0000320,ODP19-01745,Controllo qualità,CQ,RIS16,0.0,15,3.0,56426,ART0005491,69.0,29.89
188,ART0000323,ODP18-05093,Tornitura,A20,RIS14,5.5,60,5.0,43587,ART0005698,110.0,50.2
189,ART0000323,ODP18-05093,Fresatura,A30,RIS5,2.25,50,5.0,43587,ART0005698,110.0,50.2
190,ART0000323,ODP18-05093,Controllo qualità,CQ,RIS16,0.0,15,5.0,43587,ART0005698,110.0,50.2
191,ART0000323,ODP19-01044,Fresatura,A30,RIS5,2.5,50,6.0,56529,ART0006648,6.0,300.0
192,ART0000323,ODP19-01044,Controllo qualità,CQ,RIS16,0.0,15,6.0,56529,ART0006648,6.0,300.0
193,ART0000323,ODP19-03292,Fresatura,A30,RIS5,1.75,50,6.0,60352,ART0006648,6.0,156.0
194,ART0000323,ODP19-03292,Controllo qualità,CQ,RIS16,0.0,15,6.0,60352,ART0006648,6.0,156.0
195,ART0000324,ODP18-03841,Controllo qualità,CQ,RIS16,0.0,15,8.0,43571,ART0006044,8.0,40.0
196,ART0000324,ODP19-06059,Controllo qualità,CQ,RIS16,0.0,15,9.0,64858,ART0006044,9.0,45.0
197,ART0000325,ODP18-03841,Fresatura,A30,RIS9,1.5,50,0.0,43572,ART0005698,224.0,102.23
198,ART0000325,ODP18-03841,Controllo qualità,CQ,RIS16,0.0,15,8.0,43572,ART0005698,224.0,102.23
199,ART0000325,ODP19-01591,Fresatura,A30,RIS5,0.75,50,5.0,57188,ART0006678,5.0,90.0
200,ART0000325,ODP19-01591,Controllo qualità,CQ,RIS16,0.0,15,5.0,57188,ART0006678,5.0,90.0
201,ART0000325,ODP19-03292,Fresatura,A30,RIS5,1.0,50,8.0,60353,ART0006678,8.0,144.0
202,ART0000325,ODP19-03292,Controllo qualità,CQ,RIS16,0.0,15,8.0,60353,ART0006678,8.0,144.0
203,ART0000456,ODP18-02204,Fresatura,A30,RIS5,1.25,50,11.0,40761,ART0005224,176.0,9.86
204,ART0000456,ODP18-02204,Fresatura,A30,RIS9,0.5,50,0.0,40761,ART0005224,176.0,9.86
205,ART0000456,ODP18-02204,Controllo qualità,CQ,RIS16,0.0,15,11.0,40761,ART0005224,176.0,9.86
206,ART0000456,ODP18-06065,Fresatura,A30,RIS11,1.25,60,0.0,49431,ART0005224,320.0,17.92
207,ART0000456,ODP18-06065,Fresatura,A30,RIS11,3.5,60,20.0,49431,ART0005224,320.0,17.92
208,ART0000456,ODP18-06065,Controllo qualità,CQ,RIS16,0.0,15,20.0,49431,ART0005224,320.0,17.92
209,ART0000555,ODP18-00769,Tornitura,A20,RIS2,2.5,80,2.0,37493,ART0005998,166.0,0.0
210,ART0000555,ODP18-00769,Fresatura,A30,RIS9,0.5,50,2.0,37493,ART0005998,166.0,0.0
211,ART0000555,ODP18-00769,Controllo qualità,CQ,RIS16,0.0,15,2.0,37493,ART0005998,166.0,0.0
212,ART0000555,ODP18-07599,Tornitura,A20,RIS2,2.25,80,2.0,49942,ART0005172,166.0,4.42
213,ART0000555,ODP18-07599,Controllo qualità,CQ,RIS16,0.0,15,2.0,49942,ART0005172,166.0,4.42
214,ART0000555,ODP18-08121,Tornitura,A20,RIS2,2.5,80,3.0,50405,ART0005172,291.0,7.75
215,ART0000555,ODP18-08121,Fresatura,A30,RIS14,0.75,50,3.0,50405,ART0005172,291.0,7.75
216,ART0000555,ODP18-08121,Controllo qualità,CQ,RIS16,0.0,15,3.0,50405,ART0005172,291.0,7.75
217,ART0000625,ODP18-06161,Fresatura,A30,RIS9,1.5,50,1.0,48239,ART0005209,241.0,14.56
218,ART0000625,ODP19-01905,Fresatura,A30,RIS14,3.75,50,3.0,57781,ART0005209,723.0,43.69
219,ART0000625,ODP19-01905,Controllo qualità,CQ,RIS16,0.0,15,3.0,57781,ART0005209,723.0,43.69
220,ART0000625,ODP19-06105,Fresatura,A30,RIS10,7.25,60,5.0,64996,ART0005209,1205.0,62.6
221,ART0000625,ODP19-06105,Controllo qualità,CQ,RIS16,0.0,15,5.0,64996,ART0005209,1205.0,62.6
222,ART0000627,ODP19-01905,Fresatura,A30,RIS11,1.5,60,17.0,57782,ART0005373,2142.0,61.58
223,ART0000627,ODP19-01905,Fresatura,A30,RIS14,1.5,50,0.0,57782,ART0005373,2142.0,61.58
224,ART0000627,ODP19-01905,Fresatura,A30,RIS14,2.0,50,0.0,57782,ART0005373,2142.0,61.58
225,ART0000627,ODP19-01905,Controllo qualità,CQ,RIS16,0.0,15,17.0,57782,ART0005373,2142.0,61.58
226,ART0000627,ODP19-06105,Fresatura,A30,RIS10,0.75,60,0.0,64997,ART0005373,1500.0,42.14
227,ART0000627,ODP19-06105,Fresatura,A30,RIS10,3.0,60,12.0,64997,ART0005373,1500.0,42.14
228,ART0000627,ODP19-06105,Controllo qualità,CQ,RIS16,0.0,15,12.0,64997,ART0005373,1500.0,42.14
229,ART0000628,ODP18-05127,Fresatura,A30,RIS11,0.67,60,0.0,43546,ART0005213,3560.0,460.43
230,ART0000628,ODP18-05127,Fresatura,A30,RIS9,2.5,50,0.0,43546,ART0005213,3560.0,460.43
231,ART0000628,ODP18-05127,Fresatura,A30,RIS11,4.5,60,0.0,43546,ART0005213,3560.0,460.43
232,ART0000628,ODP18-05127,Fresatura,A30,RIS11,3.5,60,0.0,43546,ART0005213,3560.0,460.43
233,ART0000628,ODP18-05127,Fresatura,A30,RIS9,1.0,50,0.0,43546,ART0005213,3560.0,460.43
