,NrMovimento,Budget/cons,CodiceMP,NrArticolo,NrDocumento,QuantityMPImpiegata,ImportoCostoTOTALE
44,21935,BUDGET,ART0005171,ART0005136,ODP17-00172,15.0,1.23
45,22113,BUDGET,ART0001082,ART0003785,ODP16-16557,3600.0,71.81
46,22121,BUDGET,ART0005191,ART0003580,ODP16-16560,550.0,82.55
47,22122,BUDGET,ART0005192,ART0003578,ODP16-16560,600.0,23.8
48,22125,BUDGET,ART0005189,ART0003613,ODP16-16560,164.0,32.38
49,22126,BUDGET,ART0005188,ART0003782,ODP16-16560,712.0,10.02
50,22148,BUDGET,ART0005160,ART0002513,ODP16-15976,252.0,55.23
51,22185,BUDGET,ART0005209,ART0000625,ODP16-15709,1200.0,157.89
52,22186,BUDGET,ART0005210,ART0000627,ODP16-15709,2500.0,0.0
53,22188,BUDGET,ART0005210,ART0000639,ODP16-15709,665.0,0.0
54,22191,BUDGET,ART0005213,ART0005136,ODP16-16477,40.0,3.28
55,22192,BUDGET,ART0005213,ART0005136,ODP16-16477,280.0,22.96
56,22247,BUDGET,ART0005214,ART0001743,ODP16-15980,765.0,86.56
57,22248,BUDGET,ART0005215,ART0002551,ODP16-15980,105.0,14.74
58,22249,BUDGET,ART0005216,ART0002552,ODP16-15980,3.0,0.0
59,22252,BUDGET,ART0005218,ART0001253,ODP16-15711,670.0,5.92
60,22253,BUDGET,ART0005161,ART0001741,ODP16-15711,70.0,10.09
61,22261,BUDGET,ART0001891,ART0000850,ODP16-14652,5.0,496.26
62,22262,BUDGET,ART0001779,ART0000850,ODP16-14652,5.0,170.94
63,22263,BUDGET,ART0005222,ART0000850,ODP16-14652,10.0,10.75
64,22264,BUDGET,ART0001404,ART0000850,ODP16-14652,10.0,23.44
65,22265,BUDGET,ART0005223,ART0000850,ODP16-14652,5.0,0.56
66,22266,BUDGET,ART0005188,ART0001891,ODP16-14652,640.0,9.01
67,22267,BUDGET,ART0005224,ART0001779,ODP16-14652,400.0,22.4
68,22268,BUDGET,ART0001772,ART0000758,ODP16-16047,6.0,283.4
69,22269,BUDGET,ART0001884,ART0000758,ODP16-16047,6.0,788.5
70,22270,BUDGET,ART0001982,ART0000758,ODP16-16047,6.0,12.0
71,22271,BUDGET,ART0005149,ART0000758,ODP16-16047,6.0,0.0
72,22272,BUDGET,ART0005140,ART0000758,ODP16-16047,18.0,27.0
73,22273,BUDGET,ART0005225,ART0000758,ODP16-16047,6.0,0.0
74,22274,BUDGET,ART0005226,ART0000758,ODP16-16047,6.0,0.92
75,22276,BUDGET,ART0005142,ART0001884,ODP16-16047,805.0,48.42
76,22280,BUDGET,ART0005176,ART0005136,ODP17-00416,1.0,0.0
77,22284,BUDGET,ART0005229,ART0001154,ODP16-17335,3625.0,27.19
78,22307,BUDGET,ART0005230,ART0001188,ODP16-17333,60.0,1.17
79,22308,BUDGET,ART0005160,ART0001214,ODP16-17333,140.0,30.68
