,NrMovimento,budget/cons,NrArticolo,NrOrigine,Quantity,ImportoVenditaInValutaLocaleTOTALEVENDITA
1321,37895,Consuntivo,ART0000753,C00140,10,1500.0
1322,37897,Consuntivo,ART0002513,C00140,4,144.0
1323,37900,Consuntivo,ART0002531,C00140,1,82.8
1324,37906,Consuntivo,ART0005136,C00015,4,30.0
1325,37939,Consuntivo,ART0004099,C00297,1,905.0
1326,37947,Consuntivo,ART0004373,C00004,105,2572.5
1327,37948,Consuntivo,ART0004374,C00004,105,1785.0
1328,38203,Consuntivo,ART0002740,C00140,20,500.0
1329,38204,Consuntivo,ART0000795,C00140,7,1645.0
1330,38205,Consuntivo,ART0000786,C00140,1,355.6
1331,38206,Consuntivo,ART0000812,C00140,1,760.0
1332,38207,Consuntivo,ART0000812,C00140,1,760.0
1333,38208,Consuntivo,ART0000752,C00140,2,912.0
1334,38209,Consuntivo,ART0000752,C00140,6,2736.0
1335,38252,Consuntivo,ART0005136,C00004,3,75.0
1336,38333,Consuntivo,ART0002360,C00140,2,490.0
1337,38335,Consuntivo,ART0002172,C00140,1,52.0
1338,38336,Consuntivo,ART0002172,C00140,1,52.0
1339,38346,Consuntivo,ART0000795,C00140,22,5170.0
1340,38347,Consuntivo,ART0000783,C00140,2,581.44
1341,38391,Consuntivo,ART0000697,C00004,5,350.0
1342,38491,Consuntivo,ART0000748,C00140,6,522.0
1343,38492,Consuntivo,ART0003269,C00140,8,331.2
1344,38493,Consuntivo,ART0003269,C00140,8,331.2
1345,38494,Consuntivo,ART0003269,C00140,8,331.2
1346,38540,Consuntivo,ART0001046,C00471,1,65.0
1347,38542,Consuntivo,ART0001047,C00471,1,67.0
1348,38543,Consuntivo,ART0001047,C00471,1,67.0
1349,38619,Consuntivo,ART0000847,C00140,2,540.0
1350,38620,Consuntivo,ART0000848,C00140,15,2700.0
1351,38621,Consuntivo,ART0000804,C00140,1,480.0
1352,38622,Consuntivo,ART0000752,C00140,1,456.0
1353,38631,Consuntivo,ART0001290,C00140,1,15.0
1354,38636,Consuntivo,ART0002513,C00140,4,144.0
1355,38649,Consuntivo,ART0001261,C00140,1,12.0
1356,38650,Consuntivo,ART0001263,C00140,1,13.0
1357,38652,Consuntivo,ART0001587,C00140,3,31.74
1358,38653,Consuntivo,ART0001249,C00140,1,70.0
1359,38655,Consuntivo,ART0002010,C00140,1,50.0
1360,38656,Consuntivo,ART0003135,C00140,1,35.0
1361,38664,Consuntivo,ART0001610,C00140,4,51.52
1362,38665,Consuntivo,ART0001610,C00140,4,51.52
1363,38666,Consuntivo,ART0001610,C00140,4,51.52
1364,38670,Consuntivo,ART0002552,C00140,1,32.2
1365,38671,Consuntivo,ART0002552,C00140,1,32.2
1366,38672,Consuntivo,ART0002552,C00140,1,32.2
1367,38674,Consuntivo,ART0002210,C00140,1,24.84
1368,38680,Consuntivo,ART0002195,C00140,1,102.0
1369,38683,Consuntivo,ART0002517,C00140,1,52.0
1370,38686,Consuntivo,ART0001149,C00140,1,19.32
1371,38757,Consuntivo,ART0004440,C00004,1,140.0
1372,38758,Consuntivo,ART0004440,C00004,4,560.0
1373,38761,Consuntivo,ART0000644,C00004,10,450.0
