,NrArticolo,ImpiegoStandard,ImpiegoEffettivo,scostamento
289,ART0002148,59.65,41.34158415841584,18.308415841584157
290,ART0002152,12.7,0.5521739130434783,12.14782608695652
291,ART0002172,2.21,4.6133750000000004,-2.4033750000000005
292,ART0002173,13.02,31.826666666666668,-18.80666666666667
293,ART0002191,13.57,0.6785,12.8915
294,ART0002195,3.2,16.0,-12.8
295,ART0002210,2.54,4.0386,-1.4985999999999997
296,ART0002214,6.14,4.495357142857142,1.6446428571428573
297,ART0002224,166.46,83.23,83.23
298,ART0002228,5.029999999999999,6.706666666666666,-1.6766666666666667
299,ART0002238,0.96,34.92,-33.96
300,ART0002240,7.8,16.688372093023254,-8.888372093023253
301,ART0002249,6.97,8.915116279069768,-1.9451162790697678
302,ART0002262,8.51,17.871,-9.360999999999999
303,ART0002263,6.78,14.273684210526316,-7.4936842105263155
304,ART0002267,12.48,21.472,-8.992
305,ART0002271,22.59,18.878785714285712,3.711214285714288
306,ART0002273,4.96,10.126666666666667,-5.166666666666667
307,ART0002274,99.55,98.72041666666667,0.829583333333332
308,ART0002284,13.5,13.5,0.0
309,ART0002299,16.76,16.957176470588237,-0.19717647058823573
310,ART0002306,4.35,4.557142857142857,-0.2071428571428573
311,ART0002360,68.53,475.8491549295775,-407.3191549295775
312,ART0002366,120.19999999999999,97.362,22.837999999999994
313,ART0002370,288.8,25992.0,-25703.2
314,ART0002385,712.8799999999999,500.0799999999999,212.79999999999995
315,ART0002411,33.05,31.562749999999998,1.4872499999999995
316,ART0002416,0.42,3.165,-2.745
317,ART0002423,0.89,3.5845517241379308,-2.6945517241379306
318,ART0002424,1.57,0.9321875000000001,0.6378125
319,ART0002444,31.520000000000003,52.16742951907131,-20.64742951907131
320,ART0002450,94.77,91.25999999999999,3.510000000000005
321,ART0002451,16.06,97.25935999999999,-81.19935999999998
322,ART0002452,61.5,58.425,3.075000000000003
323,ART0002455,216.01,319.3191304347826,-103.30913043478262
324,ART0002456,69.54,104.31,-34.769999999999996
325,ART0002464,11.67,11.503285714285713,0.1667142857142867
326,ART0002476,12.6,26.88,-14.28
327,ART0002488,22.0,22.0,0.0
328,ART0002490,16.32,4.533333333333333,11.786666666666667
329,ART0002494,56.0,56.0,0.0
330,ART0002498,8.0,16.0,-8.0
331,ART0002502,21.27,48.92099999999999,-27.650999999999993
332,ART0002504,117.0,175.5,-58.5
333,ART0002508,5.07,0.44086956521739135,4.629130434782609
334,ART0002511,2.69,0.10346153846153847,2.5865384615384617
335,ART0002513,94.68,2.9794405594405595,91.70055944055945
336,ART0002517,0.89,5.395625,-4.505625
337,ART0002530,148.8,558.0,-409.2
338,ART0002531,17.84,42.816,-24.976000000000003
339,ART0002551,21.950000000000003,18.73556485355649,3.2144351464435132
340,ART0002552,2.74,11.131250000000001,-8.391250000000001
341,ART0002554,6.890000000000001,7.1053125,-0.21531249999999957
342,ART0002555,8.22,17.536,-9.316
343,ART0002556,6.61,13.22,-6.61
344,ART0002580,21.0,31.5,-10.5
345,ART0002581,31.0,46.5,-15.5
346,ART0002586,11.02,17.1912,-6.171199999999999
347,ART0002598,8.06,19.881333333333334,-11.821333333333333
348,ART0002608,68.0,68.0,0.0
349,ART0002614,10.89,11.4345,-0.5444999999999993
