,CodiceMP,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
135,ART0005231,33.73,33.230000000000004,0.4999999999999929
136,ART0005325,24.75,24.349999999999998,0.40000000000000213
137,ART0005917,0.58,0.26,0.31999999999999995
138,ART0005193,72.26,72.03,0.23000000000000398
139,ART0005241,4.69,4.48,0.20999999999999996
140,ART0005799,11.67,11.5,0.16999999999999993
141,ART0005218,5.92,5.85,0.07000000000000028
142,ART0005844,9.77,9.71,0.05999999999999872
143,ART0005703,2.38,2.36,0.020000000000000018
144,ART0005505,1.28,1.27,0.010000000000000009
145,ART0005583,1.03,1.02,0.010000000000000009
146,ART0005558,348.33,348.33,0.0
147,ART0005235,190.0,190.0,0.0
148,ART0005352,186.0,186.0,0.0
149,ART0003840,130.6,130.6,0.0
150,ART0005481,123.0,123.0,0.0
151,ART0005556,50.0,50.0,0.0
152,ART0005551,49.0,49.0,0.0
153,ART0005869,45.0,45.0,0.0
154,ART0005557,43.0,43.0,0.0
155,ART0005550,42.0,42.0,0.0
156,ART0005353,41.7,41.7,0.0
157,ART0005892,40.0,40.0,0.0
158,ART0005607,30.0,30.0,0.0
159,ART0005546,25.0,25.0,0.0
160,ART0005553,13.5,13.5,0.0
161,ART0005822,3.36,3.36,0.0
162,ART0005823,3.28,3.28,0.0
163,ART0005925,1.5,1.5,0.0
164,ART0005757,1.25,1.25,0.0
165,ART0003837,1.03,1.03,0.0
166,ART0005944,0.0,0.0,0.0
167,ART0005928,0.0,0.0,0.0
168,ART0005840,0.0,0.0,0.0
169,ART0005830,0.0,0.0,0.0
170,ART0005724,0.0,0.0,0.0
171,ART0005424,0.0,0.0,0.0
172,ART0005407,0.0,0.0,0.0
173,ART0005406,0.0,0.0,0.0
174,ART0005302,0.0,0.0,0.0
175,ART0005301,0.0,0.0,0.0
176,ART0005284,0.0,0.0,0.0
177,ART0005262,0.0,0.0,0.0
178,ART0005261,0.0,0.0,0.0
179,ART0005256,0.0,0.0,0.0
180,ART0005255,0.0,0.0,0.0
181,ART0005252,0.0,0.0,0.0
182,ART0005251,0.0,0.0,0.0
183,ART0005225,0.0,0.0,0.0
184,ART0005216,0.0,0.0,0.0
185,ART0005176,0.0,0.0,0.0
186,ART0005152,0.0,0.0,0.0
187,ART0005150,0.0,0.0,0.0
188,ART0005149,0.0,0.0,0.0
189,ART0005145,0.0,0.0,0.0
190,ART0005138,0.0,0.0,0.0
191,ART0005137,0.0,0.0,0.0
192,ART0005912,7.14,7.15,-0.010000000000000675
