,NrArticolo,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
43,ART0001244,118.77,60.08,58.69
44,ART0003704,86.01,31.5,54.510000000000005
45,ART0004175,103.52000000000001,53.6,49.92000000000001
46,ART0000883,64.05,17.3,46.75
47,ART0003169,76.67,34.39,42.28
48,ART0004440,261.06,223.77,37.28999999999999
49,ART0000630,227.94,192.37,35.56999999999999
50,ART0002148,59.65,26.46,33.19
51,ART0002949,49.69,19.13,30.56
52,ART0002029,33.0,3.4,29.6
53,ART0004902,106.7,80.13,26.570000000000007
54,ART0001766,88.13000000000001,62.42,25.710000000000008
55,ART0002017,51.0,29.0,22.0
56,ART0001100,33.98,14.21,19.769999999999996
57,ART0004659,33.87,14.32,19.549999999999997
58,ART0001869,37.78,18.89,18.89
59,ART0001768,57.24,38.56,18.68
60,ART0005026,63.02,44.37,18.650000000000006
61,ART0000125,39.11,20.92,18.189999999999998
62,ART0002366,120.19999999999999,102.04,18.159999999999982
63,ART0000753,1699.99,1682.1100000000001,17.87999999999988
64,ART0001391,22.75,5.45,17.3
65,ART0002978,38.03,21.29,16.740000000000002
66,ART0004886,278.26,261.66,16.599999999999966
67,ART0001497,41.89,25.67,16.22
68,ART0001129,31.0,15.0,16.0
69,ART0001659,22.44,7.46,14.98
70,ART0005011,39.73,24.8,14.929999999999996
71,ART0001880,34.51,19.81,14.7
72,ART0002299,16.76,2.38,14.380000000000003
73,ART0003578,23.8,9.48,14.32
74,ART0001821,151.43,137.81,13.620000000000005
75,ART0003780,47.78,34.35,13.43
76,ART0002133,115.33,102.38,12.950000000000003
77,ART0001761,27.77,15.32,12.45
78,ART0001884,110.93,99.4,11.530000000000001
79,ART0001249,17.23,5.71,11.52
80,ART0001920,90.43,78.94999999999999,11.480000000000018
81,ART0003785,146.61,135.31,11.300000000000011
82,ART0001926,128.53,117.45,11.079999999999998
83,ART0002450,94.77,84.02,10.75
84,ART0003309,22.659999999999997,12.17,10.489999999999997
85,ART0002070,16.25,5.8,10.45
86,ART0002152,12.7,2.56,10.139999999999999
87,ART0001994,182.39999999999998,172.8,9.599999999999966
88,ART0000312,236.0,227.6,8.400000000000006
89,ART0004880,12.13,4.08,8.05
90,ART0004420,18.29,10.25,8.04
91,ART0002145,17.64,9.64,8.0
92,ART0002107,18.0,10.22,7.779999999999999
93,ART0000891,18.93,11.54,7.390000000000001
94,ART0001433,11.870000000000001,4.48,7.390000000000001
95,ART0004689,19.94,13.03,6.910000000000002
96,ART0000313,190.8,184.0,6.800000000000011
97,ART0002608,68.0,61.2,6.799999999999997
98,ART0001203,73.52000000000001,67.17,6.3500000000000085
99,ART0002102,16.72,10.4,6.3199999999999985
100,ART0000882,22.04,16.43,5.609999999999999
101,ART0002886,15.41,10.19,5.220000000000001
102,ART0000151,45.13,40.0,5.130000000000003
103,ART0001628,5.510000000000001,0.65,4.86
104,ART0001804,32.11,27.26,4.849999999999998
105,ART0002996,51.76,47.58,4.18
106,ART0000042,104.0,100.0,4.0
107,ART0000041,92.0,88.0,4.0
108,ART0000121,61.92,58.05,3.8700000000000045
109,ART0002274,99.55,95.87,3.6799999999999926
110,ART0001989,9.91,6.28,3.63
111,ART0001238,5.1,1.5,3.5999999999999996
112,ART0001741,39.35,35.77,3.5799999999999983
113,ART0001162,265.79999999999995,262.52,3.2799999999999727
114,ART0001208,8.5,5.25,3.25
115,ART0002452,61.5,58.43,3.0700000000000003
116,ART0001776,82.85,80.12,2.7299999999999898
117,ART0001422,18.96,16.43,2.530000000000001
118,ART0002026,8.74,6.22,2.5200000000000005
119,ART0003099,4.5,1.99,2.51
120,ART0003160,25.63,23.38,2.25
121,ART0001294,2.7699999999999996,0.69,2.0799999999999996
122,ART0002010,6.09,4.08,2.01
123,ART0004656,10.37,8.5,1.8699999999999992
124,ART0003277,9.82,8.12,1.700000000000001
125,ART0002214,6.14,4.85,1.29
126,ART0005030,292.15999999999997,291.31,0.8499999999999659
127,ART0004717,8.45,7.69,0.7599999999999989
128,ART0002424,1.57,0.94,0.6300000000000001
129,ART0002191,13.57,13.0,0.5700000000000003
130,ART0000152,15.149999999999999,14.6,0.5499999999999989
131,ART0002306,4.35,3.85,0.49999999999999956
132,ART0004725,2.38,1.9,0.48
133,ART0001492,0.81,0.39,0.42000000000000004
134,ART0000043,36.06,35.71,0.3500000000000014
135,ART0004403,72.26,72.03,0.23000000000000398
136,ART0002464,11.67,11.5,0.16999999999999993
137,ART0004898,3.13,2.97,0.1599999999999997
